Unnamed: 0,Crop,N,P,K,pH,rainfall,temperature,Season,Crop_Family
10182,barley,70,40,45,5.54,75.32,22.676,Rabi,Poaceae
16280,sunflower,50,60,30,5.54,297.66,29.56666667,Zaid,Asteraceae
54944,sweetpotato,90,20,120,5.02,689.88,29.03727273,Rabi,Convolvulaceae
98212,rice,80,40,40,5.66,297.66,29.56666667,Kharif,Poaceae
52108,soyabean,20,60,20,5.38,1011.49,30.43,Kharif,Fabaceae
26970,jowar,80,40,40,5.52,1246.715,22.6,Kharif,Poaceae
25754,potato,180,60,90,5.08,1026.64,29.18636364,Rabi,Solanaceae
56970,rice,80,40,40,5.4,840.46,33.58333333,Kharif,Poaceae
78136,rice,80,40,40,5.52,182.5,29.2,Kharif,Poaceae
34975,potato,180,60,90,5.1,1111.68,28.64818182,Rabi,Solanaceae
11386,maize,80,40,20,5.32,1543.76,27.33333333,Kharif,Poaceae
86852,maize,80,40,20,5.5,98.98,34.92333333,Kharif,Poaceae
84135,moong,20,40,20,5.56,1220.22,27.26666667,Zaid,Fabaceae
43191,onion,120,60,65,6.14,1603.2375,22.89090909,Rabi,Amaryllidaceae
98407,onion,120,60,65,5.94,98.94,25.574,Rabi,Amaryllidaceae
89586,moong,20,40,20,5.6,207.55,26.43333333,Zaid,Fabaceae
43620,cabbage,100,65,70,6.62,1111.68,28.64818182,Rabi,Brassicaceae
149,ragi,50,40,20,5.62,654.34,29.26666667,Kharif,Poaceae
62966,barley,70,40,45,5.5,169.82,14.6,Rabi,Poaceae
66119,rice,80,40,40,5.48,1997.12,27.0,Kharif,Poaceae
34476,jowar,80,40,40,5.52,1246.715,22.6,Kharif,Poaceae
63279,maize,80,40,20,5.5,654.34,29.26666667,Kharif,Poaceae
28012,barley,70,40,45,5.4,73.47,23.562,Rabi,Poaceae
51485,moong,20,40,20,5.64,199.2125,21.3,Zaid,Fabaceae
31451,rice,80,40,40,5.34,288.3,25.46,Kharif,Poaceae
80584,onion,120,60,65,6.14,199.2125,21.3,Rabi,Amaryllidaceae
28852,barley,70,40,45,5.46,70.598,18.92,Rabi,Poaceae
51853,rapeseed,50,40,20,4.98,73.47,23.562,Rabi,Brassicaceae
47840,onion,120,60,65,6.16,75.32,22.676,Rabi,Amaryllidaceae
14423,jowar,80,40,40,5.64,607.48,26.36666667,Kharif,Poaceae
49951,wheat,60,30,30,6.9,87.2,23.106,Rabi,Poaceae
40471,moong,20,40,20,5.36,127.68,20.8,Zaid,Fabaceae
1349,onion,120,60,65,6.14,810.26,29.95636364,Rabi,Amaryllidaceae
40393,rice,80,40,40,5.5,1712.66,11.2,Kharif,Poaceae
42575,sunflower,50,60,30,5.58,199.2125,21.3,Zaid,Asteraceae
8959,moong,20,40,20,5.62,510.05,33.37333333,Zaid,Fabaceae
51089,ragi,50,40,20,5.4,1246.715,22.6,Kharif,Poaceae
37286,moong,20,40,20,5.46,510.05,33.37333333,Zaid,Fabaceae
61337,barley,70,40,45,5.38,140.52,12.5,Rabi,Poaceae
10012,maize,80,40,20,5.68,579.75,34.01,Kharif,Poaceae
82358,rice,80,40,40,5.64,423.745,22.07,Kharif,Poaceae
27063,horsegram,20,60,20,5.86,199.2125,21.3,Kharif,Fabaceae
29799,coriander,10,20,20,6.68,556.2,28.54545455,Rabi,Apiaceae
71803,ragi,50,40,20,5.5,840.46,33.58333333,Kharif,Poaceae
9555,rice,80,40,40,5.4,297.66,29.56666667,Kharif,Poaceae
59863,potato,180,60,90,4.9,1111.68,28.64818182,Rabi,Solanaceae
6650,maize,80,40,20,5.44,199.2125,21.3,Kharif,Poaceae
39039,barley,70,40,45,5.56,75.32,22.676,Rabi,Poaceae
44892,tomato,100,40,90,6.02,714.68,26.45454545,Zaid,Solanaceae
74951,rice,80,40,40,5.64,702.459,27.23333333,Kharif,Poaceae
56214,rice,80,40,40,5.54,288.3,25.46,Kharif,Poaceae
67303,jowar,80,40,40,5.68,607.48,26.36666667,Kharif,Poaceae
31436,horsegram,20,60,20,5.94,654.34,29.26666667,Kharif,Fabaceae
98924,moong,20,40,20,5.66,579.75,34.01,Zaid,Fabaceae
69827,wheat,60,30,30,6.5,75.32,22.676,Rabi,Poaceae
75576,jowar,80,40,40,5.34,162.72,29.4,Kharif,Poaceae
2544,wheat,60,30,30,6.9,167.38,23.56,Rabi,Poaceae
47869,rapeseed,50,40,20,5.16,75.32,22.676,Rabi,Brassicaceae
85671,horsegram,20,60,20,6.1,288.3,25.46,Kharif,Fabaceae
65330,onion,120,60,65,5.86,122.42,18.58,Rabi,Amaryllidaceae
35259,brinjal,80,15,40,6.48,1111.68,28.64818182,Zaid,Solanaceae
79014,moong,20,40,20,5.52,840.46,33.58333333,Zaid,Fabaceae
96264,garlic,50,10,60,5.46,1111.68,28.64818182,Rabi,Amaryllidaceae
59968,rice,80,40,40,5.54,607.48,26.36666667,Kharif,Poaceae
97802,coriander,10,20,20,6.66,556.2,28.54545455,Rabi,Apiaceae
72559,barley,70,40,45,5.4,240.1,10.38,Rabi,Poaceae
56322,maize,80,40,20,5.56,288.3,25.46,Kharif,Poaceae
66885,coriander,10,20,20,6.36,1111.68,28.64818182,Rabi,Apiaceae
82537,wheat,60,30,30,6.6,70.598,18.92,Rabi,Poaceae
46886,moong,20,40,20,5.4,297.66,29.56666667,Zaid,Fabaceae
1966,maize,80,40,20,5.32,1011.49,30.43,Kharif,Poaceae
76964,potato,180,60,90,4.92,75.32,22.676,Rabi,Solanaceae
77524,maize,80,40,20,5.32,34.81,34.66666667,Kharif,Poaceae
27067,wheat,60,30,30,6.12,199.2125,21.3,Rabi,Poaceae
45509,onion,120,60,65,6.06,1426.3,26.73636364,Rabi,Amaryllidaceae
58229,onion,120,60,65,5.88,240.1,10.38,Rabi,Amaryllidaceae
9239,garlic,50,10,60,5.34,556.2,28.54545455,Rabi,Amaryllidaceae
64987,wheat,60,30,30,6.3,15.34,27.276,Rabi,Poaceae
45442,horsegram,20,60,20,6.12,1145.22,28.5,Kharif,Fabaceae
71173,potato,180,60,90,4.94,2169.32,23.73636364,Rabi,Solanaceae
43708,potato,180,60,90,4.9,1111.68,28.64818182,Rabi,Solanaceae
72140,potato,180,60,90,5.12,1151.02,28.03333333,Rabi,Solanaceae
1574,horsegram,20,60,20,6.02,199.2125,21.3,Kharif,Fabaceae
73395,horsegram,20,60,20,6.18,1246.715,22.6,Kharif,Fabaceae
78582,blackgram,40,60,20,4.96,127.68,20.8,Kharif,Fabaceae
69080,sunflower,50,60,30,5.44,942.8,28.99454545,Zaid,Asteraceae
55488,jowar,80,40,40,5.62,579.75,34.01,Kharif,Poaceae
585,rapeseed,50,40,20,4.84,127.68,20.8,Rabi,Brassicaceae
27173,rice,80,40,40,5.36,157.31,25.83333333,Kharif,Poaceae
44803,ragi,50,40,20,5.36,607.48,26.36666667,Kharif,Poaceae
43599,brinjal,80,15,40,6.44,1111.68,28.64818182,Zaid,Solanaceae
33918,wheat,60,30,30,6.3,122.42,18.58,Rabi,Poaceae
41880,moong,20,40,20,5.6,790.98,30.61666667,Zaid,Fabaceae
51262,jowar,80,40,40,5.64,1246.715,22.6,Kharif,Poaceae
57810,garlic,50,10,60,5.5,810.26,29.95636364,Rabi,Amaryllidaceae
46093,potato,180,60,90,4.82,556.2,28.54545455,Rabi,Solanaceae
22506,moong,20,40,20,5.42,510.05,33.37333333,Zaid,Fabaceae
85551,moong,20,40,20,5.32,182.5,29.2,Zaid,Fabaceae
99203,moong,20,40,20,5.32,34.81,34.66666667,Zaid,Fabaceae
1956,wheat,60,30,30,6.11,73.47,23.562,Rabi,Poaceae
78406,jowar,80,40,40,5.36,654.34,29.26666667,Kharif,Poaceae
29962,jowar,80,40,40,5.46,297.66,29.56666667,Kharif,Poaceae
17037,onion,120,60,65,5.84,689.88,29.03727273,Rabi,Amaryllidaceae
53582,maize,80,40,20,5.36,1145.22,28.5,Kharif,Poaceae
99778,rice,80,40,40,5.66,152.54,22.28,Kharif,Poaceae
38857,rapeseed,50,40,20,5.06,75.32,22.676,Rabi,Brassicaceae
29131,moong,20,40,20,5.58,1145.22,28.5,Zaid,Fabaceae
60688,horsegram,20,60,20,6.04,113.7,30.26666667,Kharif,Fabaceae
85510,barley,70,40,45,5.34,152.54,22.28,Rabi,Poaceae
32936,wheat,60,30,30,6.9,87.2,23.106,Rabi,Poaceae
18360,onion,120,60,65,6.04,2169.32,23.73636364,Rabi,Amaryllidaceae
94881,potato,180,60,90,5.04,240.1,10.38,Rabi,Solanaceae
65588,garlic,50,10,60,5.66,1603.2375,22.89090909,Rabi,Amaryllidaceae
19591,maize,80,40,20,5.44,331.88,35.34666667,Kharif,Poaceae
8092,rice,80,40,40,5.4,40.023,23.14,Kharif,Poaceae
75375,rapeseed,50,40,20,4.9,167.38,23.56,Rabi,Brassicaceae
17953,ragi,50,40,20,5.54,654.34,29.26666667,Kharif,Poaceae
98790,sweetpotato,90,20,120,4.98,579.75,34.01,Rabi,Convolvulaceae
27876,ragi,50,40,20,5.66,1011.49,30.43,Kharif,Poaceae
53641,rice,80,40,40,5.46,411.52,34.73,Kharif,Poaceae
52090,jowar,80,40,40,5.64,1011.49,30.43,Kharif,Poaceae
51713,coriander,10,20,20,6.66,1111.68,28.64818182,Rabi,Apiaceae
36439,rice,80,40,40,5.68,235.4251,26.64666667,Kharif,Poaceae
